,HEBREW,ARABIC,PORTUGUESE,ITALIAN,FRENCH,SPANISH,GERMAN,ENGLISH,RUSSIAN,FINNISH,VIETNAMESE,KOREAN,CHINESE,JAPANESE
10,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050919032951_39big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIIIIIESBIIBESIIIE')",,,,,,
11,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050919032951_42big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIIIIIESBEIBESIIIE')",,,,,,
12,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050919032951_41big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIIIIIESBIIBESIIIE')",,,,,,
13,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050919032951_40big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIIIBIESBIIBESIIIE')",,,,,,
14,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050917034321_15big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIBIIIIIESBIIBESIIIE')",,,,,,
15,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050917034321_2big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIBIIBIIESSIIESIIIE')",,,,,,
16,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050909152208_14big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIBIIIIIIIESBIIBESIIIE')",,,,,,
17,,,,,,,,"(('http://www.4gamer.net/news/image/2005.09/20050917024918_1big.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIISIIIIESIIESBIIESBIIIESBIIESBESBIIIIIIIIIIIIESBIIESIIIE')",,,,,,
18,,,,,,,,"(('www.thecatalbum.com', 'BIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIIIIIESIIE')",,,,,,
19,,,,,,,,"(('http://www.thecatalbum.com', 'BIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIISIIIIIIIIIIESIIE')",,,,,,
20,,,,,,,,"(('http://lingerie.selectedsex.com', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIISSSIIIIIIIESBIIIIIIIIIESIIE')",,,,,,
21,,,,,,,,"(('http://www.couchsurfing.org/', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIIIIIIIIIIIIIIIIIIS')",,,,,,
22,,,,,,,,"(('http://en.wikipedia.org/wiki/Cubism', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIISSSIESBIIIIIIIIIIIISBIIESBIIIIE')",,,,,,
23,,,,,,,,"(('http://www.google.com/search?aq=0&oq=crazy+horse+mem&gcx=w&sourceid=chrome&ie=UTF-8&q=crazy+horse+memorial', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIIIIIIIISIIEIBIIIIESIIISSIESIIIIESIIIIEBIIESIIESSSIIIIIIIESIIIIIESIESSISSSSSIIIIIESIIIIESIIIIIIIE')",,,,,,
24,,,,,,,,"(('http://www.smooth-on.com/p132/Beginner-Brushable-Mold-Rubber-Options/pages.html', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIIIIIIIESIEIIIISSBIESBIIIIIIISBIIIIIIIISBIIESBIIIIESBIIIIIESBIIIESIIIE')",,,,,,
25,,,,,,,,"(('www.visitsouthshropshire.co.uk', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIESIIIIIIIIIIIIIIIIIIIISIEEBE')",,,,,,
26,,,,,,,,"(('MIRAMAR', 'BIIIIIE'), 'BIIIIEE')",,,,,,
27,,,,,,,,"(('PIRAMAR', 'BIIIIIE'), 'BIIIIEE')",,,,,,
28,,,,,,,,"(('http://www.google.co.uk/search?q=forensic+photography&ie=utf-8&oe=utf-8&aq=t&rls=org.mozilla:en-US:official&client=firefox-a&safe=active&sout=1', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIIIIIIIIIIIIIIISIIIIEIBIIIIESEIIIIIIIIESIIIIIIIIIIIIIESSIESSSIESSIESSSIISESIIEIIIISBIIIIIESIESBESIIIIIIIESBIIIIESIIIIIIESSSBIIESIIIIIESBIIESS')",,,,,,
29,,,,,,,,"(('VINGAS', 'BIIIIE'), 'BIIIEE')",,,,,,
30,,,,,,,,"(('Aweesome', 'BIIIIIIE'), 'SIIIIIIE')",,,,,,
31,,,,,,,,"(('SERVERS', 'BIIIIIE'), 'BISIISE')",,,,,,
32,,,,,,,,"(('http://cambridgefoodfrivolity.blogspot.com/', 'BIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIE'), 'BIIISIIIIIIIIIIIIIIIIIIIIIIIISIIIIIIIISIIEE')",,,,,,
